"","address","lon","lat"
"122","Faydabad, Dakshin Khan, Dhaka",90.4136962,23.8772544
"123","Block A, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",90.348447,23.7464141
"124","Pirerbag, Mirpur, Dhaka",90.3665972,23.7911115
"125","Shukrabad, Dhanmondi, Dhaka",90.3792495,23.7535231
"126","Paikpara, Ahmed Nagar, Mirpur, Dhaka",90.3604329,23.7865293
"127","North Bashabo, Bashabo, Dhaka",90.4325827,23.7414026
"128","Block A, Aftab Nagar, Dhaka",90.3737745,23.7569718
"129","Avenue 1, Mirpur DOHS, Mirpur, Dhaka",90.3653942,23.8353569
"130","Block D, Section 10, Mirpur, Dhaka",90.3713045,23.8119234
"131","Block E, Section 12, Mirpur, Dhaka",90.3658778,23.7548025
"132","Nayatola, Maghbazar, Dhaka",90.4057324,23.7527734
"133","Block J, Bashundhara R-A, Dhaka",90.4425723,23.8228913
"134","Block C, Bashundhara R-A, Dhaka",90.4272477,23.8184723
"135","Block C, Chad Uddan Housing, Mohammadpur, Dhaka",90.3708022,23.7554807
"136","Rupnagar Main Road, Section 5, Mirpur, Dhaka",90.3561647,23.8185969
"137","Block A, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",90.3599702,23.7536428
"138","Block D, Section 12, Mirpur, Dhaka",90.3724815,23.8253064
"139","Satarkul, Uttar Badda, Badda, Dhaka",90.4268519,23.786104
"140","Katashur, Mohammadpur, Dhaka",90.3617512,23.7546518
"141","Pallabi, Mirpur, Dhaka",90.3607137,23.8283088
"142","Bashundhara R-A, Dhaka",90.4525954,23.8191441
"143","Avenue 11, Mirpur DOHS, Mirpur, Dhaka",90.3756467,23.8392837
"144","Bonolota Abashik Elaka, West Agargaon, Agargaon, Dhaka",90.3693678,23.7807183
"145","Block A, Rajuk Uttara Apartment Project, Sector 18, Uttara, Dhaka",90.3559709,23.856438
"146","New Eskaton, Eskaton, Dhaka",90.398646,23.7470548
"147","Sector 1, Block E, Aftab Nagar, Dhaka",90.3660924,23.7534007
"148","Block C, Section 12, Mirpur, Dhaka",90.3683624,23.8260599
"149","Bot Tola, Khilkhet, Dhaka",90.4250477,23.8312504
"150","Section 12, Mirpur, Dhaka",90.3724815,23.8253064
"151","Taltola, Dhaka",90.4257745,23.7519151
"152","North Kazipara, Mirpur, Dhaka",90.3727682,23.8012419
"153","Sector 2, Block F, Aftab Nagar, Dhaka",90.4466991,23.7641281
"154","Avenue 5, Mirpur DOHS, Mirpur, Dhaka",90.3703986,23.8365546
"155","Amligola, Lalbagh, Dhaka",90.3783666,23.7226588
"156","Nikunja 1, Nikunja, Dhaka",90.4189984,23.824444
"157","South Banasree Project, Banasree, Dhaka",90.4409834,23.7548337
